DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,total_area_tons,HIGH EXPLOSIVE BOMBS TONS,he_percentage,INCENDIARY BOMBS TONS,inc_percentage
1943-10-14 03:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3280_output_1943-10-14,E WOLF A ACTORY,,850,205.072,10.0,4.87633611609581,195.072,95.12366388390419
1944-02-20 12:45:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3372_output_1944-02-20,MESSERSCHMIDT FCTY,REGENSBURG,12,205.0,196.0,95.60975609756098,9.0,4.390243902439024
1944-05-28 11:37:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3294_output_1944-05-28,Junkers Works,Dessau,76,201.75,162.75,80.66914498141264,39.0,19.33085501858736
1944-01-16 11:40:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3148_output_1944-01-16,AC FACTORY,KLAGENFURT,68,201.035,201.0,99.9825900962519,0.035,0.017409903748103566
1944-06-29 09:15:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3272_output_1944-06-29,JUNKERS A C PLANT,BERNBURG,94,199.85,169.85,84.98874155616713,30.0,15.011258443832876
1944-04-18 14:45:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3275_output_1944-04-18,D FAC FACTORIES,BRANDENBURG,12,199.0,100.0,50.25125628140703,99.0,49.74874371859296
1944-05-13 15:55:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3385_output_1944-05-13,FOCKE WULF A C FCTY,SORAU,16,198.0,38.0,19.19191919191919,160.0,80.8080808080808
1944-04-11 12:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3385_output_1944-04-11,FOCKE WULF A C FCTY,SORAU,77,197.4,63.4,32.11752786220871,134.0,67.88247213779128
1944-10-06 12:01:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3396_output_1944-10-06,ME 262 Plant,Wenzendorf,39,194.0,128.0,65.97938144329896,66.0,34.02061855670103
1944-08-19 12:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3336_output_1944-08-19,Junkers Works,Kothen,71,189.0,123.0,65.07936507936508,66.0,34.92063492063492
1944-03-16 12:05:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3304_output_1944-03-16,ZEPPELIN WORKS,FRIEDRICHSHAFEN,63,187.4,110.0,58.69797225186766,77.4,41.30202774813234
1944-05-29 13:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3209_output_1944-05-29,FOCKE WULF A C PLANT,KRZESINKI,92,185.0,137.0,74.05405405405405,48.0,25.945945945945947
1944-10-06 12:48:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3359_output_1944-10-06,A C ASSEMBLY,NEUBRANDENBURG,72,181.0,121.0,66.85082872928176,60.0,33.14917127071823
1944-07-21 02:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3362_output_1944-07-21,OBERPFAFFENHEFEN,,144,181.0,107.0,59.11602209944752,74.0,40.88397790055249
1944-08-16 11:31:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3379_output_1944-08-16,Seibel Works,Schkeuditz,340,180.25,90.0,49.930651872399444,90.25,50.069348127600556
1944-03-15 19:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3270_output_1944-03-15,Benz Engine,Berlin,16,179.82,0.0,0.0,179.82,100.0
1944-11-01 12:22:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3331_output_1944-11-01,ALTENBAUNA ENGINE,KASSEL,37,179.5,152.0,84.67966573816156,27.5,15.32033426183844
1944-04-25 13:15:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3219_output_1944-04-25,AERITALIA AC FCTY,TURIN,87,173.0,173.0,100.0,0.0,0.0
1942-12-29 12:59:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3325_output_1942-12-29,DIESEL ENGINE WORKS,HAMBURG,43,171.0,113.0,66.08187134502924,58.0,33.91812865497076
1944-02-02 11:34:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3185_output_1944-02-02,KURIN AC FACTORY,BRNO,24,168.0,138.0,82.14285714285714,30.0,17.857142857142858
1943-10-13 02:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3280_output_1943-10-13,E WOLF A ACTORY,,850,167.42,0.0,0.0,167.42,100.0
1944-05-30 12:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3340_output_1944-05-30,MOCKAU AIRCRAFT ASSEMBLY,LEIPZIG,72,166.0,131.0,78.91566265060241,35.0,21.084337349397593
1944-05-29 12:34:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3340_output_1944-05-29,MOCKAU AIRCRAFT ASSEMBLY,LEIPZIG,77,164.8,117.0,70.99514563106796,47.8,29.004854368932037
