DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,TOTAL TONS
1944-04-26 23:58:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5827_output_1944-04-26,Villeneuve Orly Marshalling,Villeneuve Orly,400,835.7
1944-04-18 18:00:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6731_output_1944-04-18,Marshalling Yard,Tergnier,318,806.7
1944-04-22 09:00:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5664_output_1944-04-22,MARSHALLING YARD,LAON,328,797.0
1942-01-27 11:11:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6489_output_1942-01-27,,,191,786.0
1943-12-28 18:59:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6489_output_1943-12-28,,,334,779.0
1945-01-01 19:03:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6303_output_1945-01-01,Mittelland Canal Locks,Mittelland Canal Locks,456,776.0
1945-01-01 19:31:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6893_output_1945-01-01,R R MARSHALLING YARD,VOHWINKEL,705,754.0
1944-07-12 00:00:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6711_output_1944-07-12,Railway Junction,Culmont Chalindrey,616,749.25
1943-04-18 13:00:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5765_output_1943-04-18,SOTTEVILLE MY,ROUEN,272,733.0
1944-04-10 09:30:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6731_output_1944-04-10,Marshalling Yard,Tergnier,308,727.7
1945-01-05 15:02:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6320_output_1945-01-05,Marshalling Yard,Mannheim,456,724.0
1942-10-08 06:00:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6201_output_1942-10-08,MARSHALLING YARDS,HOHENBUDBERG,482,705.0
1944-05-06 02:08:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5692_output_1944-05-06,MARSHALLING YDS,MANTES GASSICOURT,280,703.25
