DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,TOTAL TONS
1944-07-06 16:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3162_output_1944-07-06,AC PLANT,VIENNA,37,100.0
1944-07-07 17:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3162_output_1944-07-07,AC PLANT,VIENNA,37,100.0
1943-11-03 12:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3174_output_1943-11-03,A C ASSEMBLY PLNT,WIENER NEUSTADT,177,100.0
1944-06-09 17:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3210_output_1944-06-09,Focke Wulf A C Plant,Posen,20,100.0
1944-10-29 14:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3251_output_1944-10-29,AERO ENGINE,MUNICH ALLACH,60,100.0
1943-11-05 20:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3324_output_1943-11-05,ENGINE FLOCKE WULF,HAMBURG,6,100.0
1944-07-23 12:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3337_output_1944-07-23,ENG WORKSGTE AERO,KOTHEN,2,100.0
1944-03-03 13:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3373_output_1944-03-03,PREUFENING ME FCTY,REGENSBURG,350,100.0
1944-02-24 22:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3390_output_1944-02-24,A C COMPONENTS WORKS,TOUTOW,60,100.0
1944-03-29 09:20:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3392_output_1944-03-29,AIRCRAFT COMPONENT FCTRY,GUNZBERG,27,100.0
1944-04-27 12:07:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3223_output_1944-04-27,MACCHI AC FACTORY,VARESE,33,99.0
1944-01-11 12:07:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3312_output_1944-01-11,A C PLANTLANT,HALBERSTADT,32,99.0
1944-06-10 10:19:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3356_output_1944-06-10,Bayerische Motorenworks,Munich,33,97.5
1944-02-24 13:06:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3158_output_1944-02-24,Daimler Puch AC Factory,Steyr,32,96.0
1944-05-04 11:10:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3171_output_1944-05-04,Werk I & II AC FACTORY,WIENER NEUSTADT,32,96.0
1944-01-10 13:38:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3217_output_1944-01-10,NANET AC FACTORY,REGGIO EMILIA,32,96.0
1943-08-01 11:55:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3372_output_1943-08-01,MESSERSCHMIDT FCTY,REGENSBURG,39,96.0
1944-04-23 09:45:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3156_output_1944-04-23,HEINKEL A C FAC,SCHWECHAT,38,95.0
1944-05-10 11:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3173_output_1944-05-10,HENSCHEL AC FACTORY,WIENER NEUSTADT,32,95.0
1944-05-03 11:05:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3171_output_1944-05-03,Werk I & II AC FACTORY,WIENER NEUSTADT,32,93.0
1944-02-20 14:05:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3210_output_1944-02-20,Focke Wulf A C Plant,Posen,34,93.0
1944-07-20 11:37:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3295_output_1944-07-20,Aero Eng Works,Dessau,37,93.0
