target_location,target_name,BOOK,TOTAL_TONS,INCENDIARY_PERCENT,TARGET_SCORE,TONNAGE_SCORE,INCENDIARY_SCORE,AREA_BOMBING_SCORE,AREA_BOMBING_SCORE_NORMALIZED
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,443.6,0.0,0,9.726878361964255,0.0,2.9,3.0
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,22.25,0.0,0,6.09266007287871,0.0,1.8,1.9
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,10.0,0.0,0,5.347388512927295,0.0,1.6,1.6
LINZ,MARSHALLING YARD,BOOK_11_TRANSPORTATION__PART_1,60.0,0.0,0,7.646191219850772,0.0,2.3,2.4
LINZ,NANE WHARVES,BOOK_17_NAVAL,1.0,0.0,0,1.2540343571056742,0.0,0.4,0.4
LINZ,NANE WHARVES,BOOK_17_NAVAL,1.0,0.0,0,1.2540343571056742,0.0,0.4,0.4
LINZ,NANE WHARVES,BOOK_17_NAVAL,1.0,0.0,0,1.2540343571056742,0.0,0.4,0.4
LINZ,ORD DEPOT,BOOK_14_SUPPLY,62.0,0.0,0,7.706923477355544,0.0,2.3,2.4
LINZ,RR,BOOK_11_TRANSPORTATION__PART_1,184.0,0.0,0,9.193822661808086,0.0,2.8,2.9
LINZ,RR,BOOK_11_TRANSPORTATION__PART_1,3.0,0.0,0,3.692174214818671,0.0,1.1,1.1
LINZ,RR,BOOK_11_TRANSPORTATION__PART_1,15.0,0.0,0,5.71889640812077,0.0,1.7,1.8
LINZ,RR,BOOK_11_TRANSPORTATION__PART_1,15.0,0.0,0,5.71889640812077,0.0,1.7,1.8
LINZ,RR,BOOK_11_TRANSPORTATION__PART_1,15.0,0.0,0,5.71889640812077,0.0,1.7,1.8
LINZ,TANK,BOOK_1_MILITARYINDUSTRY,1111.0,0.0,0,9.9614783966684,0.0,3.0,3.1
LINZ CITY AREA,Unidentified,BOOK_6_INDUSTRIAL__PART_3,6.0,0.0,1,4.813291688356759,0.0,5.4,5.6
LINZEUX,TOWN AREA,BOOK_6_INDUSTRIAL__PART_5,76.0,0.0,1,8.087801492278327,0.0,6.4,6.6
LINZEUX,TOWN AREA,BOOK_6_INDUSTRIAL__PART_5,576.0,0.0,1,9.825438139857713,0.0,6.9,7.1
LIPPRAMSDORF,FRORCH HNRCH CK OVEN BAT,BOOK_6_INDUSTRIAL__PART_5,0.55,0.0,1,0.39770952628839146,0.0,4.1,4.2
LIPPSTADT,LIPPSTADT R R,BOOK_11_TRANSPORTATION__PART_3,2.0,0.0,0,2.6979003990976924,0.0,0.8,0.8
LIPPSTADT,LIPPSTADT R R,BOOK_11_TRANSPORTATION__PART_3,19.0,0.0,0,5.927815373937185,0.0,1.8,1.9
LIPPSTADT,LIPPSTADT R R,BOOK_11_TRANSPORTATION__PART_3,3.0,0.0,0,3.692174214818671,0.0,1.1,1.1
LISIEUX,AERODROME,BOOK_10_AIRFIELDS__PART_1,1.08,44.44444444444444,0,1.6716987680027764,5.944072768064668,2.3,2.4
LISIEUX,AERODROME,BOOK_10_AIRFIELDS__PART_1,1.3,0.0,0,1.9618254381398579,0.0,0.6,0.6
LISIEUX,AERODROME,BOOK_10_AIRFIELDS__PART_1,0.87,13.793103448275861,0,0.7777199375325351,3.7128814284244,1.3,1.3
LISIEUX,AERODROME,BOOK_10_AIRFIELDS__PART_1,1.12,10.714285714285712,0,1.7273989241714385,3.4982693602292425,1.6,1.6
LISIEUX,AERODROME,BOOK_10_AIRFIELDS__PART_1,1.7200000000000002,6.97674418604651,0,2.224188790560472,3.237740291396982,1.6,1.6
LISIEUX,AERODROME,BOOK_10_AIRFIELDS__PART_1,1.84,13.043478260869565,0,2.3307305222974146,3.6606280552986226,1.8,1.9
